17.8709 	EXP 	Created text_same = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
17.8854 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.9116 	EXP 	text_4: autoDraw = True
27.7887 	DATA 	Keypress: f
27.8212 	EXP 	text_4: autoDraw = False
27.8212 	EXP 	polygon_2: autoDraw = True
27.8212 	EXP 	polygon_3: autoDraw = True
27.8212 	EXP 	text_3: autoDraw = True
35.9846 	DATA 	Keypress: f
36.0169 	EXP 	polygon_2: autoDraw = False
36.0169 	EXP 	polygon_3: autoDraw = False
36.0169 	EXP 	text_3: autoDraw = False
36.0169 	EXP 	polygon_4: autoDraw = True
36.0169 	EXP 	polygon_5: autoDraw = True
36.0169 	EXP 	text_5: autoDraw = True
44.2973 	DATA 	Keypress: f
44.2987 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
44.2996 	EXP 	New trial (rep=0, index=0): None
44.4455 	EXP 	polygon_4: autoDraw = False
44.4455 	EXP 	polygon_5: autoDraw = False
44.4455 	EXP 	text_5: autoDraw = False
44.4455 	EXP 	text_6: text = "Let's try a few for practice. You'll see colors one at a time on the screen. They will be either BLUE or RED or ORANGE. Tell the experimenter if the color on the screen is the SAME or DIFFERENT from the color that you just saw. For the first stimulus, just say 'GO.' Then when it says 'Same?' underneath, tell the experimenter whether you see the same color or a different color [Experimenter: Press Green for SAME, Red for DIFFERENT]"
44.4455 	EXP 	text_6: autoDraw = True
73.3818 	DATA 	Keypress: f
74.9976 	DATA 	Keypress: d
75.0508 	EXP 	Imported Sequences\color_practice.xlsx as conditions, 9 conditions, 2 params
75.0512 	EXP 	Created sequence: random, trialTypes=9, nReps=2, seed=None
75.0516 	EXP 	New trial (rep=0, index=0): {u'color': u'#fdae61', u'answer': u'o'}
75.0543 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#fdae61', fillColorSpace='hex', fillRGB=array([253, 174,  97]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
75.0801 	EXP 	text_6: autoDraw = False
75.0801 	EXP 	text_same_practice: text = ''
75.0801 	EXP 	text_9: autoDraw = True
75.0801 	EXP 	text_same_practice: autoDraw = True
77.8467 	DATA 	Keypress: d
79.0458 	DATA 	Keypress: f
79.0485 	EXP 	New trial (rep=0, index=1): {u'color': u'#d7191c', u'answer': u'r'}
79.0930 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
79.1110 	EXP 	text_9: autoDraw = False
79.1110 	EXP 	text_same_practice: autoDraw = False
79.1110 	EXP 	unnamed Polygon: autoDraw = False
79.1110 	EXP 	text_same_practice: text = 'SAME / DIFFERENT?'
79.1110 	EXP 	text_9: autoDraw = True
