Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,repeat_spatial_practice.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,Scr or Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,None,,,,,,,,,0,7,7,7,,,,,f,1.63421401755,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,None,,,,,,,,,0,8,8,1,,,,,a,1.76709221592,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,1,0,1,0,None,0,0,0,4,,,,,,,,,,,d,38.3312746799,f,2.86803703969,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,1,0,1,0,None,0,1,1,0,,,,,,,,,,,,,a,1.83401704727,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,1,0,1,0,None,0,2,2,8,,,,,,,,,,,,,a,5.74880708916,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,1,0,1,0,None,0,3,3,7,,,,,,,,,,,,,f,3.48311941336,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,1,0,1,0,None,0,4,4,6,,,,,,,,,,,,,a,5.23307869397,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,1,0,1,0,None,0,5,5,1,,,,,,,,,,,,,a,3.78281057072,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,1,0,1,0,None,0,6,6,5,,,,,,,,,,,,,a,5.19878381773,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,1,0,1,0,None,0,7,7,2,,,,,,,,,,,,,f,4.84936056052,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,1,0,1,0,None,0,8,8,3,,,,,,,,,,,,,a,7.8476666338,,,2018_Jul_20_1131,60.0442371177,Arrows_VVA_Direction,1001,Whi,
