15.1884 	ERROR 	avbin.dll failed to load.
                     Try importing psychopy.visual as the first library
                     (before anything that uses scipy)
                     and make sure that avbin is installed.
68.4034 	EXP 	text_6: text = "Let's try a few for practice. You'll see colors one at a time on the screen. They will be either BLUE or RED or ORANGE. Tell the experimenter if the color on the screen is the SAME or DIFFERENT from the color that you just saw. For the first stimulus, just say 'GO.' Then when it says 'Same?' underneath, tell the experimenter whether you see the same color or a different color [Experimenter: Press Green for SAME, Red for DIFFERENT]"
68.4034 	EXP 	text_6: autoDraw = True
68.9390 	DATA 	Keypress: d
68.9849 	EXP 	Imported Sequences\color_practice.xlsx as conditions, 9 conditions, 2 params
68.9915 	EXP 	Created sequence: random, trialTypes=9, nReps=2, seed=None
68.9919 	EXP 	New trial (rep=0, index=0): {u'color': u'#d7191c', u'answer': u'r'}
68.9951 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
69.0198 	EXP 	text_6: autoDraw = False
69.0198 	EXP 	text_same_practice: text = ''
69.0198 	EXP 	text_9: autoDraw = True
69.0198 	EXP 	text_same_practice: autoDraw = True
69.3561 	DATA 	Keypress: f
69.3594 	EXP 	New trial (rep=0, index=1): {u'color': u'#2c7bb6', u'answer': u'b'}
69.4280 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#2c7bb6', fillColorSpace='hex', fillRGB=array([ 44, 123, 182]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
69.4534 	EXP 	text_9: autoDraw = False
69.4534 	EXP 	text_same_practice: autoDraw = False
69.4534 	EXP 	unnamed Polygon: autoDraw = False
69.4534 	EXP 	text_same_practice: text = 'SAME?'
69.4534 	EXP 	text_9: autoDraw = True
69.4534 	EXP 	text_same_practice: autoDraw = True
69.7543 	DATA 	Keypress: a
69.7571 	EXP 	New trial (rep=0, index=2): {u'color': u'#2c7bb6', u'answer': u'b'}
69.7640 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#2c7bb6', fillColorSpace='hex', fillRGB=array([ 44, 123, 182]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
69.7876 	EXP 	text_9: autoDraw = False
69.7876 	EXP 	text_same_practice: autoDraw = False
69.7876 	EXP 	unnamed Polygon: autoDraw = False
69.7876 	EXP 	text_same_practice: text = ''
69.7876 	EXP 	text_9: autoDraw = True
69.7876 	EXP 	text_same_practice: autoDraw = True
70.3532 	DATA 	Keypress: f
70.3546 	EXP 	New trial (rep=0, index=3): {u'color': u'#d7191c', u'answer': u'r'}
70.3717 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
70.4028 	EXP 	text_9: autoDraw = False
70.4028 	EXP 	text_same_practice: autoDraw = False
70.4028 	EXP 	unnamed Polygon: autoDraw = False
70.4028 	EXP 	text_same_practice: text = 'SAME?'
70.4028 	EXP 	text_9: autoDraw = True
70.4028 	EXP 	text_same_practice: autoDraw = True
70.6868 	DATA 	Keypress: a
70.6884 	EXP 	New trial (rep=0, index=4): {u'color': u'#d7191c', u'answer': u'r'}
70.7072 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#d7191c', fillColorSpace='hex', fillRGB=array([215,  25,  28]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
70.7196 	EXP 	text_9: autoDraw = False
70.7196 	EXP 	text_same_practice: autoDraw = False
70.7196 	EXP 	unnamed Polygon: autoDraw = False
