color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,d,1.05345985293,,,,,,,,,,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,s,1.3637057431,,,,,,,,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,,,d,0.970635301201,,,,,,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,0,0,0,,,,,,,,,,,d,0.733431066619,f,1.52330447594,5,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,1,1,4,,,,,,,,,,,,,a,0.707112489734,3,0,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,2,2,6,,,,,,,,,,,,,f,0.483360455371,999,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,3,3,2,,,,,,,,,,,,,a,0.564078585012,3,0,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,4,4,5,,,,,,,,,,,,,f,0.441390476655,5,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,5,5,7,,,,,,,,,,,,,a,0.563161053695,999,0,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,0,6,6,3,,,,,,,,,,,,,f,0.459737409605,3,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,0,7,7,1,,,,,,,,,,,,,a,0.593961370876,4,0,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,0,8,8,8,,,,,,,,,,,,,f,0.550086539472,3,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,1,0,9,3,,,,,,,,,,,,,a,0.500180632574,5,0,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,1,1,10,8,,,,,,,,,,,,,f,0.594138308661,4,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,1,2,11,0,,,,,,,,,,,,,a,0.484579725424,3,0,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#d7191c,r,0,0,0,0,1,3,12,1,,,,,,,,,,,,,f,0.469850780908,6,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#fdae61,o,0,0,0,0,1,4,13,5,,,,,,,,,,,,,a,0.461212438764,5,0,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
#2c7bb6,b,0,0,0,0,1,5,14,7,,,,,,,,,,,,,f,0.502677467419,3,,,,,,2018_Aug_07_1049,None,Arrows_VVA_Color,1001,
