color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
,,,,,,,,,,,,,,d,39.6799969834,,,,,,,,,,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,d,4.23199731186,,,,,,,,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,,,d,4.03228219015,,,,,,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,2,,,,,,,,,,,d,17.3760031986,f,11.2619099786,4,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,1,1,3,,,,,,,,,,,,,f,5.88153677201,5,1,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,2,2,4,,,,,,,,,,,,,f,2.24990796343,6,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,3,3,1,,,,,,,,,,,,,f,3.44922548715,4,1,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,4,4,7,,,,,,,,,,,,,f,0.768268199702,5,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,5,5,6,,,,,,,,,,,,,f,2.43300295365,6,0,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,6,6,0,,,,,,,,,,,,,f,0.667294820918,4,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,7,7,5,,,,,,,,,,,,,f,2.29940869013,999,1,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,8,8,8,,,,,,,,,,,,,f,0.534407844506,5,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,1,0,9,5,,,,,,,,,,,,,f,2.46716826784,3,1,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,1,1,10,8,,,,,,,,,,,,,f,0.767651945129,6,,,,,,2018_Aug_09_1009,60.9174214663,Arrows_VVA_Color,1003,
