color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,repeat_color_practice_mini.thisRepN,repeat_color_practice_mini.thisTrialN,repeat_color_practice_mini.thisN,repeat_color_practice_mini.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,date,frameRate,expName,participant,
,,,,,,,,,,,,,,d,0.918017395772,,,,,,,,,,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,d,0.320691615809,,,,,,,,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
,,,,,,,,,,,,,,,,,,d,0.267330394126,,,,,,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,d,0.333583774511,f,1.8352703019,6,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,f,2.23572800122,999,0,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,f,0.25050929375,3,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,f,0.250877933577,4,1,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,f,0.534424683079,6,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,f,0.303149326239,999,0,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,f,0.267228286713,3,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,f,0.267167432234,5,0,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,f,0.834486211184,6,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,1,1,1,,,,,,,,,f,0.901271778625,5,1,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,o,0,0,0,0,1,0,1,0,0,2,2,2,,,,,,,,,f,0.2672200948,3,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,o,0,0,0,0,1,0,1,0,0,3,3,3,,,,,,,,,f,0.167139608413,6,0,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,r,0,0,0,0,1,0,1,0,0,4,4,4,,,,,,,,,f,0.367658103351,5,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,5,5,5,,,,,,,,,f,0.150489369873,4,1,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,1,0,1,0,0,6,6,6,,,,,,,,,f,0.283942013513,6,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,r,0,0,0,0,1,0,1,0,0,7,7,7,,,,,,,,,f,0.133522568736,999,1,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,f,0.700225777458,999,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,2,0,2,0,0,1,1,1,,,,,,,,,f,0.150508971885,3,1,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,2,0,2,0,0,2,2,2,,,,,,,,,f,0.233932198025,6,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#fdae61,o,0,0,0,0,2,0,2,0,0,3,3,3,,,,,,,,,f,0.0999704794958,999,1,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,2,0,2,0,0,4,4,4,,,,,,,,,f,0.233887726907,5,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#d7191c,r,0,0,0,0,2,0,2,0,0,5,5,5,,,,,,,,,f,0.100170890801,6,0,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,2,0,2,0,0,6,6,6,,,,,,,,,f,0.217290150933,4,,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
#2c7bb6,b,0,0,0,0,2,0,2,0,0,7,7,7,,,,,,,,,f,0.0834770589136,5,0,2018_Nov_05_1022,59.9527986556,Arrows_VVA_Color,1003,
