key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
d,0.467829748755,,,2018_Aug_07_1044,None,Arrows_VVA_Color,1001,
,,s,0.994383147918,2018_Aug_07_1044,None,Arrows_VVA_Color,1001,
