Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Stimulus,direction,number,format,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,date,frameRate,expName,participant,Scr or Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,f,0.13104072283,,,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,1,0,1,0,,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,f,0.156686443137,,,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,1,0,1,0,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,f,0.129670378286,,,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,1,0,1,0,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,d,0.6903805763,,,f,0.455727366498,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,1,0,1,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,f,0.35856387252,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,1,0,1,0,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,f,0.232221649261,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,1,0,1,0,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,f,0.319780006073,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,1,0,1,0,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,f,0.486212397693,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,1,0,1,0,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,f,0.357674257131,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,1,0,1,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,f,0.332733824849,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,1,0,1,0,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,f,0.4146929821,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,1,0,1,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,f,0.532068850473,,,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.704972814769,2018_Aug_07_0847,None,Arrows_VVA_Direction,1001,Whi,
