Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,repeat_spatial_practice.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,d,0.365820495441,,,,,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,None,0,0,0,4,,,s,0.251335924785,f,0.303108894994,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,None,0,1,1,7,,,,,a,0.334555727754,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,None,0,2,2,2,,,,,f,0.184435042707,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,None,0,3,3,1,,,,,a,0.151395140558,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,None,0,4,4,3,,,,,f,0.184669763856,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,None,0,5,5,0,,,,,a,0.201634837259,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,None,0,6,6,5,,,,,f,0.334271920435,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,None,0,7,7,8,,,,,a,3.28293447844,2018_Aug_09_1050,60.1923991203,Arrows_VVA_Direction,1002,Whi,
