3.6220 	ERROR 	avbin.dll failed to load.
19.6498 	EXP 	Created text_10 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
19.6521 	EXP 	Created image_2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.67,  0.67]), texRes=128, units='height', win=Window(...))
19.6564 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
19.6571 	EXP 	Created text_same = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_same', opacity=1.0, ori=0, pos=array([ 0. , -0.8]), rgb=array([ 0.,  0.,  0.]), text='', units=u'norm', win=Window(...), wrapWidth=1)
19.6667 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
19.6968 	EXP 	text_4: autoDraw = True
20.2120 	DATA 	Keypress: f
20.4292 	DATA 	Keypress: d
20.4296 	EXP 	Created sequence: random, trialTypes=1, nReps=2, seed=None
20.4299 	EXP 	New trial (rep=0, index=0): None
20.5282 	EXP 	text_4: autoDraw = False
20.5282 	EXP 	text_6: text = "Let's try a few for practice. You'll see spatial directions one at a time on the screen. They will be either LEFT or RIGHT or AHEAD. Tell the experimenter if the spatial direction on the screen is the SAME or DIFFERENT from the spatial direction that you just saw. For the first stimulus, just say 'GO.' Then when it says 'Same?' underneath, tell the experimenter whether you see the same direction or a different direction"
20.5282 	EXP 	text_6: autoDraw = True
20.9294 	DATA 	Keypress: d
20.9516 	EXP 	Imported Extra_Stimuli//practice_order_WHI_image.xlsx as conditions, 9 conditions, 5 params
20.9521 	EXP 	Created sequence: random, trialTypes=9, nReps=1, seed=None
20.9527 	EXP 	New trial (rep=0, index=0): {u'Stimulus_Practice': u'right_image_2_WHI.jpg', u'Direction': u'right', u'Number': 2, u'Background': u'_WHI', u'Format': u'image'}
21.0612 	EXP 	text_6: autoDraw = False
21.0612 	EXP 	image: image = u'Extra_Stimuli//right_image_2_WHI.jpg'
21.0612 	EXP 	text_same_practice: text = ''
21.0612 	EXP 	text_9: autoDraw = True
21.0612 	EXP 	image: autoDraw = True
21.0612 	EXP 	text_same_practice: autoDraw = True
21.7123 	DATA 	Keypress: f
21.7132 	EXP 	New trial (rep=0, index=1): {u'Stimulus_Practice': u'right_image_3_WHI.jpg', u'Direction': u'right', u'Number': 3, u'Background': u'_WHI', u'Format': u'image'}
21.7776 	EXP 	text_9: autoDraw = False
21.7776 	EXP 	image: autoDraw = False
21.7776 	EXP 	text_same_practice: autoDraw = False
21.7776 	EXP 	image: image = u'Extra_Stimuli//right_image_3_WHI.jpg'
21.7776 	EXP 	text_same_practice: text = 'SAME?'
21.7776 	EXP 	text_9: autoDraw = True
21.7776 	EXP 	image: autoDraw = True
21.7776 	EXP 	text_same_practice: autoDraw = True
22.1282 	DATA 	Keypress: f
22.1295 	EXP 	New trial (rep=0, index=2): {u'Stimulus_Practice': u'ahead_image_3_WHI.jpg', u'Direction': u'ahead', u'Number': 3, u'Background': u'_WHI', u'Format': u'image'}
22.1940 	EXP 	text_9: autoDraw = False
22.1940 	EXP 	image: autoDraw = False
22.1940 	EXP 	text_same_practice: autoDraw = False
22.1940 	EXP 	image: image = u'Extra_Stimuli//ahead_image_3_WHI.jpg'
22.1940 	EXP 	text_same_practice: text = ''
22.1940 	EXP 	text_9: autoDraw = True
22.1940 	EXP 	image: autoDraw = True
22.1940 	EXP 	text_same_practice: autoDraw = True
22.9776 	DATA 	Keypress: f
22.9787 	EXP 	New trial (rep=0, index=3): {u'Stimulus_Practice': u'ahead_image_1_WHI.jpg', u'Direction': u'ahead', u'Number': 1, u'Background': u'_WHI', u'Format': u'image'}
23.0437 	EXP 	text_9: autoDraw = False
23.0437 	EXP 	image: autoDraw = False
23.0437 	EXP 	text_same_practice: autoDraw = False
23.0437 	EXP 	image: image = u'Extra_Stimuli//ahead_image_1_WHI.jpg'
23.0437 	EXP 	text_same_practice: text = 'SAME?'
23.0437 	EXP 	text_9: autoDraw = True
23.0437 	EXP 	image: autoDraw = True
23.0437 	EXP 	text_same_practice: autoDraw = True
23.3109 	DATA 	Keypress: f
23.3115 	EXP 	New trial (rep=0, index=4): {u'Stimulus_Practice': u'left_image_2_WHI.jpg', u'Direction': u'left', u'Number': 2, u'Background': u'_WHI', u'Format': u'image'}
23.3775 	EXP 	text_9: autoDraw = False
23.3775 	EXP 	image: autoDraw = False
23.3775 	EXP 	text_same_practice: autoDraw = False
23.3775 	EXP 	image: image = u'Extra_Stimuli//left_image_2_WHI.jpg'
23.3775 	EXP 	text_same_practice: text = ''
23.3775 	EXP 	text_9: autoDraw = True
23.3775 	EXP 	image: autoDraw = True
23.3775 	EXP 	text_same_practice: autoDraw = True
23.8604 	DATA 	Keypress: f
23.8613 	EXP 	New trial (rep=0, index=5): {u'Stimulus_Practice': u'ahead_image_2_WHI.jpg', u'Direction': u'ahead', u'Number': 2, u'Background': u'_WHI', u'Format': u'image'}
23.9264 	EXP 	text_9: autoDraw = False
23.9264 	EXP 	image: autoDraw = False
23.9264 	EXP 	text_same_practice: autoDraw = False
