Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.548566762591,,,,,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,s,0.267620707862,f,0.472057372332,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,a,0.400836410932,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,f,0.256259329384,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,a,0.294565340504,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,f,0.318525020033,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,a,0.3094650649,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,f,0.301701969234,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,,,,,,,,a,0.390236562816,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,,,,,,,,,d,0.960338012781,f,0.248400991084,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,a,0.49776056665,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,,,,,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,f,0.0827227404807,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,,,a,0.341865211958,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,,,,,0,4,4,7,,,,,,,,,,,,,,,,,f,0.266993830446,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,0,0,0,0,,,,,0,5,5,4,,,,,,,,,,,,,,,,,a,0.290549139492,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,,,,,0,6,6,8,,,,,,,,,,,,,,,,,f,0.284715938848,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,0,0,0,0,,,,,0,7,7,6,,,,,,,,,,,,,,,,,a,0.368535611778,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,0,0,0,0,,,,,0,8,8,5,,,,,,,,,,,,,,,,,None,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,0,0,3,,,,,,,,,,,d,0.531499447301,,,f,0.334119358566,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,a,0.278035407187,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,f,0.235291171586,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,a,0.262561353622,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,f,0.134831954259,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,a,0.239000297384,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,f,0.254750226159,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,a,0.33753783023,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,8,8,7,,,,,,,,,,,,,,,None,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,,,,,1,0,1,0,0,0,0,4,,,,,,,,,,,,,,,d,0.389816592215,f,0.344715922372,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,,,,,1,0,1,0,0,1,1,8,,,,,,,,,,,,,,,,,a,0.102774598403,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,,,,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,f,0.3551507378,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,,,,,1,0,1,0,0,3,3,5,,,,,,,,,,,,,,,,,a,0.188650198281,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,,,,,1,0,1,0,0,4,4,3,,,,,,,,,,,,,,,,,f,0.291558218654,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,,,,,1,0,1,0,0,5,5,7,,,,,,,,,,,,,,,,,a,0.255058122566,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,,,,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,f,0.22222035192,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,,,,,1,0,1,0,0,7,7,1,,,,,,,,,,,,,,,,,a,0.300655942643,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,,,,,1,0,1,0,0,8,8,2,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,,,,,1,0,1,0,,,,,0,0,0,2,,,,,,,,,,,,,,,d,0.770341691095,f,0.256587752141,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,,,,,1,0,1,0,,,,,0,1,1,7,,,,,,,,,,,,,,,,,a,0.272360260133,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,1,0,1,0,,,,,0,2,2,5,,,,,,,,,,,,,,,,,f,0.287785050692,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,1,0,1,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,a,0.384216161212,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,1,0,1,0,,,,,0,4,4,6,,,,,,,,,,,,,,,,,f,0.259167924291,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,,,,,1,0,1,0,,,,,0,5,5,3,,,,,,,,,,,,,,,,,a,0.367133656517,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,,,,,1,0,1,0,,,,,0,6,6,0,,,,,,,,,,,,,,,,,f,0.27669954719,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,1,0,1,0,,,,,0,7,7,8,,,,,,,,,,,,,,,,,a,0.40528202476,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,1,0,1,0,,,,,0,8,8,1,,,,,,,,,,,,,,,,,None,,,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,0,0,2,,,,,,,,,,,d,0.540110284463,,,f,0.328681086656,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,a,0.324123808881,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,f,0.253452134784,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,a,0.209788314998,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
