Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.348729136704,,,,,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,s,0.339861050436,f,0.784668782131,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,a,1.05080597263,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,f,0.100308484277,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,a,0.000359667767043,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,f,0.018000791626,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,a,0.0347922784777,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,a,0.0842756018974,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,f,0.000344495677382,,,,,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,,,,,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,,,,d,0.467091961158,f,0.0622609001421,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,a,0.0681829236355,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,,,,,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,f,0.000600636246418,,,,,,,,2018_Aug_09_1059,59.9691451355,Arrows_VVA_Direction,1002,Whi,
