5.8686 	EXP 	image: image = u'Extra_Stimuli//right_word_3_WHI.jpg'
5.8686 	EXP 	text_9: autoDraw = True
5.8686 	EXP 	image: autoDraw = True
5.8690 	EXP 	window1: blendMode = 'avg'
5.8854 	EXP 	window1: blendMode = 'avg'
5.9022 	EXP 	window1: blendMode = 'avg'
5.9197 	EXP 	window1: blendMode = 'avg'
5.9365 	EXP 	window1: blendMode = 'avg'
5.9531 	EXP 	window1: blendMode = 'avg'
5.9698 	EXP 	window1: blendMode = 'avg'
5.9863 	DATA 	Keypress: f
5.9893 	EXP 	New trial (rep=0, index=1): {'Stimulus_Practice': u'left_word_3_WHI.jpg', 'Direction': u'left', 'Number': 3, 'Background': u'_WHI', 'Format': u'word'}
6.0346 	EXP 	window1: blendMode = 'avg'
6.0521 	EXP 	text_9: autoDraw = False
6.0521 	EXP 	image: autoDraw = False
6.0521 	EXP 	image: image = u'Extra_Stimuli//left_word_3_WHI.jpg'
6.0521 	EXP 	text_9: autoDraw = True
6.0521 	EXP 	image: autoDraw = True
6.0525 	EXP 	window1: blendMode = 'avg'
6.0692 	EXP 	window1: blendMode = 'avg'
6.0867 	EXP 	window1: blendMode = 'avg'
6.1033 	EXP 	window1: blendMode = 'avg'
6.1199 	EXP 	window1: blendMode = 'avg'
6.1366 	EXP 	window1: blendMode = 'avg'
6.1533 	EXP 	window1: blendMode = 'avg'
6.1698 	DATA 	Keypress: j
6.1721 	EXP 	New trial (rep=0, index=2): {'Stimulus_Practice': u'left_word_1_WHI.jpg', 'Direction': u'left', 'Number': 1, 'Background': u'_WHI', 'Format': u'word'}
6.2158 	EXP 	window1: blendMode = 'avg'
6.2356 	EXP 	text_9: autoDraw = False
6.2356 	EXP 	image: autoDraw = False
6.2356 	EXP 	image: image = u'Extra_Stimuli//left_word_1_WHI.jpg'
6.2356 	EXP 	text_9: autoDraw = True
6.2356 	EXP 	image: autoDraw = True
6.2361 	EXP 	window1: blendMode = 'avg'
6.2526 	EXP 	window1: blendMode = 'avg'
6.2692 	EXP 	window1: blendMode = 'avg'
6.2878 	EXP 	window1: blendMode = 'avg'
6.3030 	DATA 	Keypress: f
6.3050 	EXP 	New trial (rep=0, index=3): {'Stimulus_Practice': u'ahead_word_1_WHI.jpg', 'Direction': u'ahead', 'Number': 1, 'Background': u'_WHI', 'Format': u'word'}
6.3374 	EXP 	window1: blendMode = 'avg'
6.3525 	EXP 	text_9: autoDraw = False
6.3525 	EXP 	image: autoDraw = False
6.3525 	EXP 	image: image = u'Extra_Stimuli//ahead_word_1_WHI.jpg'
6.3525 	EXP 	text_9: autoDraw = True
6.3525 	EXP 	image: autoDraw = True
6.3528 	EXP 	window1: blendMode = 'avg'
6.3696 	EXP 	window1: blendMode = 'avg'
6.3869 	EXP 	window1: blendMode = 'avg'
6.4036 	EXP 	window1: blendMode = 'avg'
6.4203 	EXP 	window1: blendMode = 'avg'
6.4400 	EXP 	window1: blendMode = 'avg'
6.4536 	DATA 	Keypress: j
6.4558 	EXP 	New trial (rep=0, index=4): {'Stimulus_Practice': u'left_word_2_WHI.jpg', 'Direction': u'left', 'Number': 2, 'Background': u'_WHI', 'Format': u'word'}
6.4956 	EXP 	window1: blendMode = 'avg'
6.5026 	EXP 	text_9: autoDraw = False
6.5026 	EXP 	image: autoDraw = False
6.5026 	EXP 	image: image = u'Extra_Stimuli//left_word_2_WHI.jpg'
6.5026 	EXP 	text_9: autoDraw = True
6.5026 	EXP 	image: autoDraw = True
6.5031 	EXP 	window1: blendMode = 'avg'
6.5195 	EXP 	window1: blendMode = 'avg'
6.5363 	EXP 	window1: blendMode = 'avg'
6.5536 	DATA 	Keypress: f
6.5560 	EXP 	New trial (rep=0, index=5): {'Stimulus_Practice': u'ahead_word_2_WHI.jpg', 'Direction': u'ahead', 'Number': 2, 'Background': u'_WHI', 'Format': u'word'}
6.6045 	EXP 	window1: blendMode = 'avg'
6.6194 	EXP 	text_9: autoDraw = False
6.6194 	EXP 	image: autoDraw = False
6.6194 	EXP 	image: image = u'Extra_Stimuli//ahead_word_2_WHI.jpg'
6.6194 	EXP 	text_9: autoDraw = True
6.6194 	EXP 	image: autoDraw = True
6.6199 	EXP 	window1: blendMode = 'avg'
6.6364 	EXP 	window1: blendMode = 'avg'
6.6531 	EXP 	window1: blendMode = 'avg'
6.6703 	DATA 	Keypress: j
