Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,d,0.0620444158558,,,,,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,0,0,0,6,,,,,,,s,0.817761026556,f,1.74593207217,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,0,1,1,5,,,,,,,,,a,1.34269078495,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,0,2,2,4,,,,,,,,,f,0.580128610367,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,0,3,3,1,,,,,,,,,a,0.610041775508,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,0,4,4,2,,,,,,,,,f,0.247288048035,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,0,5,5,8,,,,,,,,,a,0.336495908676,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,0,6,6,0,,,,,,,,,f,0.234601894161,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,0,7,7,3,,,,,,,,,a,0.375769535778,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,0,8,8,7,,,,,,,,,a,0.16272613965,,,,,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,,,,,0,0,0,4,,,,,,,d,1.26281464985,f,0.549228945281,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,,,,,0,1,1,5,,,,,,,,,a,0.435917720199,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,,,,,0,2,2,3,,,,,,,,,f,0.219035471324,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,,,,,0,3,3,6,,,,,,,,,a,0.246695655398,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,,,,,0,4,4,0,,,,,,,,,f,0.211875852896,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,,,,,0,5,5,7,,,,,,,,,a,0.137004061136,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,,,,,0,6,6,2,,,,,,,,,f,0.147768941475,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,,,,,0,7,7,8,,,,,,,,,a,0.000494276406243,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,,,,,0,8,8,1,,,,,,,,,f,0.000684761675075,2018_Aug_07_0903,None,Arrows_VVA_Direction,1001,Whi,
