Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,space,0.851980594278,,,,,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,0,0,0,8,,,space,0.267474437947,f,0.134719675232,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,0,1,1,4,,,,,j,0.218090067676,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,0,2,2,1,,,,,f,0.101231610402,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,0,3,3,5,,,,,j,0.0845336580533,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,0,4,4,6,,,,,f,0.101234536152,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,0,5,5,2,,,,,j,0.151702885109,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,0,6,6,3,,,,,f,0.150774554699,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,0,7,7,7,,,,,j,0.068208442186,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,0,8,8,0,,,,,f,0.134565782442,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,1,0,9,1,,,,,j,0.350963029428,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,1,1,10,5,,,,,f,0.268471230229,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,1,2,11,7,,,,,j,0.118055076047,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,1,3,12,0,,,,,f,0.134731378057,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,1,4,13,2,,,,,j,0.0676458266098,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,1,5,14,8,,,,,f,0.133769401931,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,1,6,15,6,,,,,j,0.0681086751865,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,1,7,16,4,,,,,f,0.0511450676713,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,1,8,17,3,,,,,f,0.184804462537,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,2,0,18,4,,,,,j,0.0511705213576,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,2,1,19,0,,,,,f,0.0710572141688,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,2,2,20,2,,,,,j,0.0528027796536,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,2,3,21,5,,,,,f,0.0169852579129,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,2,4,22,8,,,,,j,0.101635359577,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,2,5,23,6,,,,,f,0.0345620959997,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,2,6,24,1,,,,,j,0.06809667981,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,2,7,25,7,,,,,f,0.0845860283589,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,2,8,26,3,,,,,j,0.301400482887,2018_May_10_0950,59.9336829795,Arrows_VVA_Direction,,Whi,
