Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.566203189084,,,,,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,d,0.0354884096387,f,1.60118556492,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,a,0.234535513176,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,a,0.0684935052304,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,f,0.000350296770193,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,a,0.0176982423136,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,a,0.0847423667665,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,f,0.0170775253609,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,a,0.000400275418542,,,,,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,d,0.284345036517,f,0.000323076256791,,,,,,,,2018_Aug_09_1100,60.0316370922,Arrows_VVA_Direction,1002,Whi,
