Stimulus,direction,number,format,Stimulus_Practice,Direction,Number,Background,Format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
,,,,ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,f,0.485032860682,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_1_WHI.jpg,left,1,_WHI,image,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,f,0.467490057904,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_image_1_WHI.jpg,right,1,_WHI,image,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,f,0.0506448975802,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,f,0.218049189282,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,f,0.000620265455836,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,f,0.465911281513,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,f,0.834149495578,,,,,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,d,0.600054619059,f,0.351797163379,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,f,0.0850964044239,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,f,0.267859629019,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
