Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,18.9396771112,,,,,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,d,55.6062824945,f,9.52967549132,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,0,0,0,0,0,1,1,7,,,,,,,,,,,,,,,,,a,1.93407950264,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,f,1.96694492576,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,a,1.30049706442,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,f,1.50083736546,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,a,1.28391173949,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,,,f,1.41711956097,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,,,,,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,,f,1.2507089605,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,0,0,0,0,,,,,0,0,0,4,,,,,,,,,,,,,,,d,4.19943756172,f,11.0123871185,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,a,3.28247529962,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,0,0,0,0,,,,,0,2,2,6,,,,,,,,,,,,,,,,,f,1.91743348935,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,,,,,0,3,3,8,,,,,,,,,,,,,,,,,a,1.66671560409,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,0,0,0,0,,,,,0,4,4,5,,,,,,,,,,,,,,,,,f,1.6171997053,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,,,,,0,5,5,2,,,,,,,,,,,,,,,,,a,1.36686558466,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,,,,,0,6,6,7,,,,,,,,,,,,,,,,,f,1.33388592463,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
