Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,133.025998714,,,,,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,d,61.5876239482,f,21.2238463299,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,f,8.94643850819,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,f,1.60623563951,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,f,1.81712723627,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,f,1.68888872031,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,f,1.80036564736,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,f,2.00605455616,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,f,1.26776328149,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,f,5.26488772431,,,,,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,d,29.0193890378,f,50.0589980084,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,,,,,0,0,0,0,,,,,0,1,1,2,,,,,,,,,,,,,,,,,f,2.18307981813,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,,,,,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,f,1.51688586617,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,,,,,0,0,0,0,,,,,0,3,3,8,,,,,,,,,,,,,,,,,f,2.28293804834,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,f,1.2001127197,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,,,,,0,0,0,0,,,,,0,5,5,7,,,,,,,,,,,,,,,,,f,1.40042356904,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,,,,,0,0,0,0,,,,,0,6,6,3,,,,,,,,,,,,,,,,,f,1.38390339484,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,,,,,0,0,0,0,,,,,0,7,7,0,,,,,,,,,,,,,,,,,f,1.43409266666,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,,,,,0,0,0,0,,,,,0,8,8,6,,,,,,,,,,,,,,,,,f,8.79612995698,,,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,0,0,1,,,,,,,,,,,d,14.6936228584,,,f,4.49891675744,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,f,3.31621356412,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,f,1.66743627834,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,3,3,8,,,,,,,,,,,,,,,f,1.91730274164,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,f,1.05013393831,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,f,1.78462728201,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,f,1.21720764834,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,f,1.15087304219,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,,,,,0,0,0,0,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,f,1.41744442218,,,,,,2018_Aug_09_1019,None,Arrows_VVA_Direction,1002,Whi,
