Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,date,frameRate,expName,participant,Scr or Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,1,0,1,0,0,0,0,0,,,,,,,,,,,d,3.8539389912,f,0.433912946377,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,1,0,1,0,0,1,1,1,,,,,,,,,,,,,f,0.0831394316629,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,1,0,1,0,0,2,2,2,,,,,,,,,,,,,f,0.350882058963,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,1,0,1,0,0,3,3,3,,,,,,,,,,,,,f,0.100424550474,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,1,0,1,0,0,4,4,4,,,,,,,,,,,,,f,0.364981075283,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,1,0,1,0,0,5,5,5,,,,,,,,,,,,,f,0.0670304498635,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,1,0,1,0,0,6,6,6,,,,,,,,,,,,,f,0.2840098897,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,1,0,1,0,0,7,7,7,,,,,,,,,,,,,f,0.100495645311,,,,,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,d,0.667409797665,f,0.350656193681,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,f,0.100390319712,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,1,0,1,0,,,,,0,2,2,2,,,,,,,,,,,,,f,0.235371941701,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,1,0,1,0,,,,,0,3,3,3,,,,,,,,,,,,,f,0.0684675606899,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
