Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,space,0.251317450951,,,,,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,0,0,1,,,space,0.10180826945,f,0.117908790126,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,1,1,2,,,,,j,0.117932195892,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,2,2,0,,,,,f,0.0679726293311,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,3,3,8,,,,,j,0.101303875621,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,4,4,5,,,,,f,0.0511708139675,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,5,5,7,,,,,j,0.0511517968262,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,6,6,4,,,,,f,0.0511760803056,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,7,7,3,,,,,j,0.0513083227561,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,8,8,6,,,,,f,0.0347686517634,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,1,0,9,8,,,,,j,0.271609063202,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,1,1,10,4,,,,,f,0.318274856021,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,1,2,11,5,,,,,j,0.285036354966,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,1,3,12,7,,,,,f,0.201313706057,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,1,4,13,2,,,,,j,0.134401357092,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,1,5,14,0,,,,,f,0.118173567636,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,1,6,15,1,,,,,j,0.0678477011388,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,1,7,16,6,,,,,f,0.0675226538442,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,1,8,17,3,,,,,j,0.0341179719544,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,2,0,18,6,,,,,f,0.184407149965,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,2,1,19,3,,,,,f,0.0839315452031,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,2,2,20,4,,,,,j,0.0836550648091,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,2,3,21,1,,,,,f,0.0684738048585,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,2,4,22,0,,,,,j,0.0686727536959,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,2,5,23,5,,,,,f,0.0176295010606,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,2,6,24,7,,,,,j,0.117385964259,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,2,7,25,2,,,,,f,0.0345808205893,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,2,8,26,8,,,,,j,0.334454956232,2018_May_10_0948,60.0363242866,Arrows_VVA_Direction,,Whi,
