Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,space,1.2526442642,,,,,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,0,0,0,8,,,,,,,,,,,space,0.217851329013,f,0.351043194125,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,0,1,1,3,,,,,,,,,,,,,j,0.118273042084,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,0,2,2,2,,,,,,,,,,,,,f,0.033885377401,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,0,3,3,4,,,,,,,,,,,,,j,0.0854382901452,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,0,4,4,5,,,,,,,,,,,,,f,0.0168966086349,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,0,5,5,1,,,,,,,,,,,,,j,0.084838810435,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,0,6,6,0,,,,,,,,,,,,,f,0.0169703367283,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,0,7,7,7,,,,,,,,,,,,,j,0.0840239979443,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,0,8,8,6,,,,,,,,,,,,,f,0.000256585539319,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,,,,,0,0,0,6,,,,,,,,,f,0.386486516567,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,,,,,0,1,1,8,,,,,,,,,j,0.067997205304,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,,,,,0,2,2,7,,,,,,,,,f,0.0521292792982,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,,,,,0,3,3,2,,,,,,,,,j,0.0340094278217,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,,,,,0,4,4,4,,,,,,,,,f,0.0678204919677,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,,,,,0,5,5,5,,,,,,,,,j,0.0170782956993,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,,,,,0,6,6,0,,,,,,,,,f,0.0339763672673,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,,,,,0,7,7,1,,,,,,,,,j,0.051179298549,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,,,,,0,8,8,3,,,,,,,,,f,0.0170115893707,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,,,,,,,,,0,0,0,5,,,,,f,0.201662451669,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,,,,,,,,,0,1,1,2,,,,,j,0.0339725638041,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
