Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.754750226159,,,,,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,s,0.790087294765,f,2.22902773693,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,a,0.633460788755,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,f,0.44569240557,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,a,0.35041652224,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,,,,,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,f,0.247033931082,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,a,0.241620701039,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,f,0.234250481473,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,a,0.288675487041,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,0,0,0,0,0,8,8,1,,,,,,,,,,,,,,,,,f,0.299605810316,,,,,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,,,,,,,,,,d,0.76725123194,f,0.550225708634,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,,,,,0,0,0,0,,,,,0,1,1,6,,,,,,,,,,,,,,,,,a,0.667192690773,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,f,0.444322882453,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,,,a,0.288984615123,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,0,0,0,0,,,,,0,4,4,7,,,,,,,,,,,,,,,,,f,0.296294897562,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,a,0.334994195029,,,,,,,2018_Aug_07_0904,None,Arrows_VVA_Direction,1001,Whi,
