Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,d,0.585864926223,,,,,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,0,0,5,,,,,,,s,0.676554794889,f,0.717629821505,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,1,1,0,,,,,,,,,a,0.927848780993,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,2,2,2,,,,,,,,,f,0.475507864961,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,3,3,6,,,,,,,,,a,0.641553949332,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,4,4,3,,,,,,,,,f,0.391315432033,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,5,5,4,,,,,,,,,a,0.565216159681,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,6,6,8,,,,,,,,,f,0.419550766936,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,7,7,7,,,,,,,,,a,0.485349466559,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,8,8,1,,,,,,,,,f,3.86507608742,,,,,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,,,,,0,0,0,2,,,,,,,d,3.28448275849,f,1.37906690128,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,,,,,0,1,1,0,,,,,,,,,a,0.330803929828,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,,,,,0,2,2,3,,,,,,,,,f,0.173462693579,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,,,,,0,3,3,4,,,,,,,,,a,0.24218517798,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,,,,,0,4,4,1,,,,,,,,,f,0.15665975865,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,,,,,0,5,5,7,,,,,,,,,a,0.1721584443,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,,,,,0,6,6,5,,,,,,,,,f,0.188021268696,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,,,,,0,7,7,6,,,,,,,,,a,0.152760148048,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,,,,,0,8,8,8,,,,,,,,,f,0.387125988025,2018_Aug_07_1003,None,Arrows_VVA_Direction,1001,Whi,
