Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,date,frameRate,expName,participant,Scr or Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,f,0.184800065328,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,,,,,1,0,1,0,0,6,6,1,,,,,,,,,,,,,,,,,a,0.185121356633,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,,,,,1,0,1,0,0,7,7,4,,,,,,,,,,,,,,,,,f,0.183996837066,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,1,0,1,0,0,8,8,6,,,,,,,,,,,,,,,,,a,0.151442888016,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,,,,,1,0,1,0,,,,,0,0,0,3,,,,,,,,,,,,,a,0.30118605578,d,1.15126483909,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,1,0,1,0,,,,,0,1,1,7,,,,,,,,,,,,,f,0.101272358193,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,1,0,1,0,,,,,0,2,2,5,,,,,,,,,,,,,a,0.0682494130851,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,,,,,1,0,1,0,,,,,0,3,3,4,,,,,,,,,,,,,f,0.051767615354,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,,,,,1,0,1,0,,,,,0,4,4,1,,,,,,,,,,,,,a,0.0505699127662,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,1,0,1,0,,,,,0,5,5,8,,,,,,,,,,,,,f,0.0683413380975,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,,,,,1,0,1,0,,,,,0,6,6,0,,,,,,,,,,,,,a,0.0517769863491,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,1,0,1,0,,,,,0,7,7,2,,,,,,,,,,,,,f,0.0514722058469,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,,,,,1,0,1,0,,,,,0,8,8,6,,,,,,,,,,,,,a,0.0514882704138,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,,,a,0.217449063057,d,0.501131436256,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,1,1,2,,,,,,,,,f,0.035460296649,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,2,2,1,,,,,,,,,a,0.0513494904189,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,3,3,6,,,,,,,,,f,0.0345959337919,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,4,4,7,,,,,,,,,a,0.0181315393365,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,5,5,4,,,,,,,,,f,0.0522660631159,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,6,6,5,,,,,,,,,a,0.0172649452888,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,7,7,8,,,,,,,,,f,0.0844416024047,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,,,,,1,0,1,0,,,,,,,,,0,8,8,3,,,,,,,,,a,0.0348654614972,,,,,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.900714293044,,,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_20_WHI.jpg,left,20,schema,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,a,0.501226484934,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_18_WHI.jpg,left,18,schema,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,f,0.284851516562,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_schema_1_WHI.jpg,right,1,schema,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,a,0.201242594125,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_7_WHI.jpg,ahead,7,schema,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,f,0.151153279603,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_schema_9_WHI.jpg,right,9,schema,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,a,0.085313551308,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_5_WHI.jpg,ahead,5,schema,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,f,0.201236346793,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_6_WHI.jpg,ahead,6,schema,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,a,0.167506114576,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_3_WHI.jpg,left,3,schema,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,f,0.1348977245,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_schema_7_WHI.jpg,right,7,schema,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,a,0.151273317604,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_4_WHI.jpg,left,4,schema,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,f,0.135051230345,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_schema_19_WHI.jpg,right,19,schema,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,a,0.184590333505,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_schema_17_WHI.jpg,right,17,schema,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,f,0.151342038245,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_10_WHI.jpg,ahead,10,schema,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,a,0.184627817491,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_schema_6_WHI.jpg,right,6,schema,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,f,0.151126505327,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_12_WHI.jpg,left,12,schema,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,a,0.152636128227,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_4_WHI.jpg,ahead,4,schema,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,f,0.201300605055,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_11_WHI.jpg,left,11,schema,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,a,0.134940117101,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_13_WHI.jpg,ahead,13,schema,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,f,0.20121314242,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_12_WHI.jpg,ahead,12,schema,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,a,0.134632659172,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_10_WHI.jpg,left,10,schema,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,f,0.184117767543,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_schema_5_WHI.jpg,right,5,schema,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,a,0.167913083562,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_image_8_WHI.jpg,ahead,8,image,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,a,0.717780394714,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_image_3_WHI.jpg,right,3,image,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,f,0.184129369729,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_image_7_WHI.jpg,left,7,image,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,a,0.0845830598264,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_image_19_WHI.jpg,ahead,19,image,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,f,0.0515199533056,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_image_5_WHI.jpg,right,5,image,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,a,0.0513847432139,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_image_11_WHI.jpg,left,11,image,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,f,0.0172649452888,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_image_8_WHI.jpg,right,8,image,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,a,0.050954123617,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_image_18_WHI.jpg,ahead,18,image,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,a,0.10130091742,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_image_20_WHI.jpg,left,20,image,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,a,0.0682257624758,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_image_18_WHI.jpg,right,18,image,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,a,0.0853492503411,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_image_10_WHI.jpg,left,10,image,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,f,0.0174304995599,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_image_5_WHI.jpg,left,5,image,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,a,0.000340925773344,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_image_15_WHI.jpg,ahead,15,image,,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,f,0.0512129416129,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_image_2_WHI.jpg,right,2,image,,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,a,0.0179427806961,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_image_17_WHI.jpg,ahead,17,image,,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,f,0.000330662302076,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_image_15_WHI.jpg,left,15,image,,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,a,0.0344781269796,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,left_image_19_WHI.jpg,left,19,image,,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,f,0.000328431111484,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_image_11_WHI.jpg,right,11,image,,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,a,0.034430825759,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,right_image_21_WHI.jpg,right,21,image,,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,f,0.217619525944,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_image_2_WHI.jpg,ahead,2,image,,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,a,0.168478467012,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_image_4_WHI.jpg,ahead,4,image,,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,f,0.151105085908,2018_Jul_12_1407,59.9197578564,Arrows_VVA_Direction,1001,Whi,
