Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,d,1.5072700507,,,,,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,0,0,0,7,,,,,,,,,,,d,0.43030579458,f,2.05845598551,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,0,1,1,1,,,,,,,,,,,,,f,1.23054340831,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,0,2,2,4,,,,,,,,,,,,,f,0.50309702754,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,0,3,3,6,,,,,,,,,,,,,f,0.840584773337,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,0,4,4,8,,,,,,,,,,,,,a,0.429504853208,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,0,5,5,5,,,,,,,,,,,,,f,0.463189544156,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,0,6,6,0,,,,,,,,,,,,,a,0.213164912537,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,0,7,7,3,,,,,,,,,,,,,f,0.22981882561,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,0,0,0,0,0,8,8,2,,,,,,,,,,,,,a,0.213678894332,,,,,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,d,0.690453239949,f,0.409336815588,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,a,1.95115161478,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,,,,,0,2,2,6,,,,,,,,,,,,,f,0.194184123771,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,,,,,0,3,3,2,,,,,,,,,,,,,a,0.19575685868,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,f,0.107659067493,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,,,,,0,5,5,8,,,,,,,,,,,,,a,0.056436595507,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,,,,,0,6,6,3,,,,,,,,,,,,,f,0.0837716411334,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
