Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,d,0.768686439842,,,,,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,0,0,0,1,,,d,0.551921602106,f,3.04945555702,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,0,1,1,8,,,,,a,0.710002200445,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,0,2,2,7,,,,,f,0.393687055912,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,0,3,3,4,,,,,a,0.268091173377,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,0,4,4,3,,,,,f,0.315103675006,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,0,5,5,2,,,,,a,0.322197198169,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,0,0,0,0,0,6,6,6,,,,,f,0.213761000196,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,0,7,7,0,,,,,a,0.24458718067,2018_Aug_07_0856,None,Arrows_VVA_Direction,1001,Whi,
